"Long" "Lat" "SiteNum" "Name" "State" "First" "Last" "PercComp" "Elev" "Dist"
"127.2" "-16.29" "001000" "KARUNJIE" "WA" "1940" "1983" "0.6" "320" NA
"127.85" "-15.18" "001001" "OOMBULGURRI" "WA" "1914" "2012" "0.54" "2" NA
"126.72" "-14.13" "001003" "PAGO MISSION" "WA" "1908" "1940" "0.87" "5" NA
"124.72" "-15.42" "001004" "KUNMUNYA" "WA" "1915" "1948" "0.47" "47" NA
"128.1" "-15.46" "001005" "WYNDHAM PORT" "WA" "1886" "1995" "0.86" "20" NA
"128.15" "-15.51" "001006" "WYNDHAM AERO" "WA" "1951" "2016" "0.48" "4" NA
"126.15" "-13.75" "001007" "TROUGHTON ISLAND" "WA" "1956" "2016" "0.5" "6" NA
"126.18" "-16.3" "001008" "MOUNT ELIZABETH OLD SITE" "WA" "1959" "1978" "0.95" "640" NA
"124.52" "-15.49" "001009" "KURI BAY" "WA" "1961" "2012" "0.88" "12" NA
"126.5" "-14.79" "001010" "THEDA" "WA" "1965" "2016" "0.93" "210" NA
"124.95" "-16.05" "001011" "PANTA DOWNS" "WA" "1966" "1969" "0.57" NA NA
"125.83" "-14.79" "001012" "MITCHELL PLATEAU" "WA" "1968" "2002" "0.99" "315" NA
"128.12" "-15.49" "001013" "WYNDHAM" "WA" "1968" "2016" "0.99" "11" NA
"128.13" "-15.91" "001014" "EMMA GORGE" "WA" "1998" "2016" "0.83" "130" NA
"126.77" "-14.49" "001016" "CARSON RIVER STATION" "WA" "1970" "1997" "0.56" "59" NA
"127.83" "-15.5" "001017" "NULLA NULLA" "WA" "1923" "1926" "0.89" NA NA
"126.1" "-16.42" "001018" "MOUNT ELIZABETH" "WA" "1973" "2016" "0.99" "546" NA
"126.65" "-14.3" "001019" "KALUMBURU" "WA" "1997" "2016" "0.94" "23" NA
"126.39" "-14.09" "001020" "TRUSCOTT" "WA" "1944" "2016" "0.92" "51" NA
"126.64" "-14.3" "001021" "KALUMBURU MISSION" "WA" "1941" "2005" "0.98" "23" NA
"128.2" "-15.5" "001022" "WYNDHAM SIX MILE HOTEL" "WA" "1900" "1917" "0.24" NA NA
"127.98" "-16.01" "001023" "EL QUESTRO" "WA" "1967" "2016" "0.6" "90" NA
"127.06" "-15.96" "001024" "ELLENBRAE" "WA" "1986" "2016" "0.76" "300" NA
"126.31" "-15.38" "001025" "DOONGAN" "WA" "1988" "2016" "0.99" "385" NA
"126.38" "-15.7" "001026" "DRYSDALE RIVER STATION" "WA" "1988" "2016" "0.97" "370" NA
"128.08" "-15.64" "001027" "DIGGERS REST" "WA" "1971" "2016" "0.4" "14" NA
"127.83" "-15.72" "001028" "HOME VALLEY" "WA" "1991" "2015" "0.51" "10" NA
"128.11" "-15.45" "001029" "WYNDHAM NORTH" "WA" "1989" "1996" "0.71" "15" NA
"125.91" "-14.58" "001030" "KIMBERLEY COASTAL CAMP" "WA" "1995" "2013" "0.36" "3" NA
"127.2" "-13.96" "001031" "FARAWAY BAY" "WA" "1996" "2016" "0.91" "60" NA
"126.65" "-14.15" "001032" "MCGOWAN ISLAND" "WA" "1997" "2000" "0.38" "6" NA
"128.28" "-15.6" "001035" "PARRY CREEK FARM" "WA" "2002" "2016" "0.81" "20" NA
"127.94" "-17.76" "002000" "ALICE DOWNS" "WA" "1904" "2004" "0.84" "363" NA
"128.92" "-16.5" "002001" "ARGYLE DOWNS" "WA" "1890" "2013" "0.84" "120" NA
"126.23" "-18.88" "002002" "BOHEMIA DOWNS" "WA" "1906" "1959" "0.76" NA NA
"128.18" "-16.87" "002003" "BOW RIVER" "WA" "1945" "1995" "0.89" "194" NA
"128.37" "-16.58" "002004" "GLEN HILL" "WA" "1962" "1964" "0.75" NA NA
"128.53" "-15.49" "002005" "CARLTON HILL" "WA" "1897" "2016" "0.81" "20" NA
"128.25" "-15.5" "002006" "ASCOT" "WA" "1910" "1921" "0.79" NA NA
"128.25" "-16.32" "002007" "DUNHAM RIVER STATION" "WA" "1920" "1973" "0.83" NA NA
"128" "-18.32" "002008" "FLORA VALLEY OLD" "WA" "1898" "1975" "0.83" NA NA
"126.44" "-16.42" "002009" "GIBB RIVER" "WA" "1922" "2016" "0.91" "488" NA
"128.58" "-18.75" "002010" "GORDON DOWNS" "WA" "1919" "1997" "0.83" "354" NA
"127.78" "-18.25" "002011" "OLD HALLS CREEK" "WA" "1890" "1999" "0.66" "360" NA
"127.66" "-18.23" "002012" "HALLS CREEK AIRPORT" "WA" "1944" "2016" "1" "422" NA
"128.68" "-15.69" "002013" "IVANHOE STATION" "WA" "1907" "2013" "0.77" "40" NA
"128.71" "-15.65" "002014" "KIMBERLEY RES.STATION" "WA" "1944" "2010" "0.91" "31" NA
"127.35" "-18.41" "002015" "LAMBOO" "WA" "1920" "2007" "0.43" "400" NA
"128.55" "-16.67" "002016" "LISSADELL" "WA" "1895" "2009" "0.91" "120" NA
"126.71" "-18.71" "002017" "LOUISA DOWNS" "WA" "1915" "1995" "0.74" "248" NA
"128.12" "-17.18" "002018" "MABEL DOWNS" "WA" "1922" "2004" "0.9" "254" NA
"126.86" "-18.63" "002019" "MARGARET RIVER STATION" "WA" "1913" "2015" "0.93" "280" NA
"127.5" "-18.19" "002020" "MOOLA BULLA" "WA" "1903" "2013" "0.9" "430" NA
"126.99" "-18.39" "002021" "MOUNT AMHURST" "WA" "1925" "2016" "0.63" "300" NA
"126.3" "-18.02" "002022" "MOUNT WINIFRED" "WA" "2000" "2016" "0.74" "180" NA
"128.89" "-18.03" "002023" "NICHOLSON" "WA" "1921" "2016" "0.81" "380" NA
"128.85" "-17.4" "002024" "ORD RIVER" "WA" "1894" "1967" "0.78" NA NA
"127.57" "-18.37" "002025" "ROCKHOLE DOWNS" "WA" "1922" "1949" "0.64" NA NA
"127.64" "-18.6" "002026" "RUBY PLAINS" "WA" "1900" "2016" "0.58" "450" NA
"128.03" "-16.35" "002027" "SPEEWA STATION" "WA" "1908" "1944" "0.94" NA NA
"128.87" "-16.82" "002028" "SPRING CREEK" "WA" "1927" "2013" "0.8" "180" NA
"128.16" "-19.16" "002029" "STURT CREEK" "WA" "1899" "2016" "0.84" "400" NA
"126.92" "-17.3" "002030" "YULMBU" "WA" "1950" "2016" "0.72" "450" NA
"128.47" "-17.01" "002031" "TEXAS DOWNS" "WA" "1922" "1995" "0.9" "250" NA
"128.22" "-17.02" "002032" "WARMUN" "WA" "1897" "2016" "0.79" "203" NA
"128.3" "-17.8" "002033" "TURNER RIVER" "WA" "1920" "1965" "0.85" NA NA
"127.95" "-18.45" "002034" "ELVIRE" "WA" "1962" "1969" "0.6" NA NA
"127.75" "-17.15" "002035" "GREENVALE" "WA" "1914" "1944" "0.71" NA NA
"126.23" "-17.39" "002036" "OLD MORNINGTON HOMESTEAD" "WA" "2002" "2016" "0.89" "280" NA
"128" "-17.3" "002037" "VIOLET VALLEY" "WA" "1912" "1941" "0.84" NA NA
"128.74" "-15.78" "002038" "KUNUNURRA" "WA" "1962" "1991" "0.74" "47" NA
